filename,asset_type,title_en,title_ko,keywords_en,keywords_ko,category,batch,axis_subject,axis_color
miri-kawaii-01.png,photo,Cute puffy inflatable glossy 3D pink heart on cream background,크림 배경 위 귀여운 인플레이터블 3D 핑크 하트,"heart, love, pink heart, valentine, romance, love heart, pink, cream, greeting card, social media, banner, template, invitation, inflatable, puffy, glossy, balloon, three dimensional, shiny, rounded, cute, kawaii, pastel, soft, 3d render, adorable, decoration, design element","하트, 사랑, 핑크 하트, 발렌타인, 로맨스, 핑크, 크림, 카드, 소셜 미디어, 배너, 템플릿, 초대장, 인플레이터블, 퍼피, 광택, 풍선, 입체, 반짝이는, 볼록한, 귀여운, 카와이, 파스텔, 부드러운, 3d 렌더",9. Graphic Resources,kawaii_24,인플레이터블 하트,소프트 핑크
miri-kawaii-02.png,photo,Cute puffy inflatable 3D pastel ribbon bow on white background,화이트 배경 위 귀여운 인플레이터블 3D 파스텔 리본,"ribbon, bow, gift bow, present, gift, butter yellow, mint, greeting card, social media, banner, template, invitation, inflatable, puffy, glossy, balloon, three dimensional, shiny, rounded, cute, kawaii, pastel, soft, 3d render, adorable, decoration, design element, copy space","리본, 나비 리본, 선물, 보우, 버터 옐로, 민트, 카드, 소셜 미디어, 배너, 템플릿, 초대장, 인플레이터블, 퍼피, 광택, 풍선, 입체, 반짝이는, 볼록한, 귀여운, 카와이, 파스텔, 부드러운, 3d 렌더, 사랑스러운",9. Graphic Resources,kawaii_24,인플레이터블 리본,버터 옐로-민트
miri-kawaii-03.png,photo,Cute puffy inflatable 3D flower on cream background,크림 배경 위 귀여운 인플레이터블 3D 꽃,"flower, blossom, cute flower, floral, petal, peach, sage green, greeting card, social media, banner, template, invitation, inflatable, puffy, glossy, balloon, three dimensional, shiny, rounded, cute, kawaii, pastel, soft, 3d render, adorable, decoration, design element, copy space","꽃, 플라워, 플로럴, 꽃잎, 피치, 세이지, 카드, 소셜 미디어, 배너, 템플릿, 초대장, 인플레이터블, 퍼피, 광택, 풍선, 입체, 반짝이는, 볼록한, 귀여운, 카와이, 파스텔, 부드러운, 3d 렌더, 사랑스러운",9. Graphic Resources,kawaii_24,인플레이터블 꽃,피치 핑크-세이지
miri-kawaii-04.png,photo,Cute puffy inflatable 3D star cluster on white background,화이트 배경 위 귀여운 인플레이터블 3D 별 클러스터,"star, stars, cute star, star cluster, night, baby blue, lavender, greeting card, social media, banner, template, invitation, inflatable, puffy, glossy, balloon, three dimensional, shiny, rounded, cute, kawaii, pastel, soft, 3d render, adorable, decoration, design element, copy space","별, 스타, 별 무리, 밤, 베이비 블루, 라벤더, 카드, 소셜 미디어, 배너, 템플릿, 초대장, 인플레이터블, 퍼피, 광택, 풍선, 입체, 반짝이는, 볼록한, 귀여운, 카와이, 파스텔, 부드러운, 3d 렌더, 사랑스러운",9. Graphic Resources,kawaii_24,인플레이터블 별,베이비 블루-라벤더
miri-kawaii-05.png,photo,Cute puffy inflatable 3D cloud set on pale blue background,페일 블루 배경 위 귀여운 인플레이터블 3D 구름 세트,"cloud, clouds, sky, fluffy cloud, weather, sky blue, white, greeting card, social media, banner, template, invitation, inflatable, puffy, glossy, balloon, three dimensional, shiny, rounded, cute, kawaii, pastel, soft, 3d render, adorable, decoration, design element, copy space","구름, 하늘, 뭉게구름, 스카이 블루, 화이트, 카드, 소셜 미디어, 배너, 템플릿, 초대장, 인플레이터블, 퍼피, 광택, 풍선, 입체, 반짝이는, 볼록한, 귀여운, 카와이, 파스텔, 부드러운, 3d 렌더, 사랑스러운, 데코레이션",9. Graphic Resources,kawaii_24,인플레이터블 구름,페일 스카이 블루
miri-kawaii-06.png,photo,Cute puffy inflatable 3D wrapped candy on cream background,크림 배경 위 귀여운 인플레이터블 3D 캔디,"candy, sweet, sweets, confection, treat, strawberry pink, mint, greeting card, social media, banner, template, invitation, inflatable, puffy, glossy, balloon, three dimensional, shiny, rounded, cute, kawaii, pastel, soft, 3d render, adorable, decoration, design element, copy space","캔디, 사탕, 스위트, 간식, 딸기 핑크, 민트, 카드, 소셜 미디어, 배너, 템플릿, 초대장, 인플레이터블, 퍼피, 광택, 풍선, 입체, 반짝이는, 볼록한, 귀여운, 카와이, 파스텔, 부드러운, 3d 렌더, 사랑스러운",9. Graphic Resources,kawaii_24,인플레이터블 캔디,딸기 핑크-민트
miri-kawaii-07.png,photo,Cute puffy inflatable 3D birthday cake on cream background,크림 배경 위 귀여운 인플레이터블 3D 생일 케이크,"cake, birthday cake, birthday, dessert, celebration, party, peach cream, pink, greeting card, social media, banner, template, invitation, inflatable, puffy, glossy, balloon, three dimensional, shiny, rounded, cute, kawaii, pastel, soft, 3d render, adorable, decoration, design element","케이크, 생일, 디저트, 축하, 파티, 피치 크림, 핑크, 카드, 소셜 미디어, 배너, 템플릿, 초대장, 인플레이터블, 퍼피, 광택, 풍선, 입체, 반짝이는, 볼록한, 귀여운, 카와이, 파스텔, 부드러운, 3d 렌더",9. Graphic Resources,kawaii_24,인플레이터블 케이크,피치 크림-핑크
miri-kawaii-08.png,photo,Cute puffy inflatable 3D hearts and bows set on white background,화이트 배경 위 귀여운 인플레이터블 3D 하트와 리본 세트,"heart, bow, love, cute set, collection, pink, yellow, greeting card, social media, banner, template, invitation, inflatable, puffy, glossy, balloon, three dimensional, shiny, rounded, cute, kawaii, pastel, soft, 3d render, adorable, decoration, design element, copy space","하트, 리본, 세트, 모음, 핑크, 옐로, 카드, 소셜 미디어, 배너, 템플릿, 초대장, 인플레이터블, 퍼피, 광택, 풍선, 입체, 반짝이는, 볼록한, 귀여운, 카와이, 파스텔, 부드러운, 3d 렌더, 사랑스러운",9. Graphic Resources,kawaii_24,인플레이터블 하트리본,소프트 핑크-옐로
miri-kawaii-09.png,photo,Translucent glossy glass heart object on cream surface,크림 배경 위 반투명 유리 하트 오브젝트,"heart, glass, glass heart, love, crystal, transparent, pink, clear, greeting card, social media, banner, template, invitation, translucent, glossy, premium, luxury, still life, aesthetic, elegant, object, cute, kawaii, pastel, soft, 3d render, adorable, decoration","하트, 유리, 글래스, 사랑, 투명, 핑크, 카드, 소셜 미디어, 배너, 템플릿, 초대장, 반투명, 광택, 프리미엄, 럭셔리, 정물, 감성, 우아한, 귀여운, 카와이, 파스텔, 부드러운, 3d 렌더, 사랑스러운",9. Graphic Resources,kawaii_24,유리 하트,페일 핑크
miri-kawaii-10.png,photo,Translucent glossy jelly star object on white surface,화이트 배경 위 반투명 젤리 별 오브젝트,"star, jelly, jelly star, gummy, translucent, peach, greeting card, social media, banner, template, invitation, glossy, premium, luxury, still life, aesthetic, elegant, object, cute, kawaii, pastel, soft, 3d render, adorable, decoration, design element, copy space, background","별, 젤리, 스타, 구미, 피치, 카드, 소셜 미디어, 배너, 템플릿, 초대장, 반투명, 광택, 프리미엄, 럭셔리, 정물, 감성, 우아한, 귀여운, 카와이, 파스텔, 부드러운, 3d 렌더, 사랑스러운, 데코레이션",9. Graphic Resources,kawaii_24,젤리 별,소프트 피치
